Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Laos,2086.755,2181.866,2136.59,2052.7878,2100.1213,2393.1812,2667.1423,2575.5598,2873.2812,2970.4678,4625.6934,5997.1875,6164.582,7166.971,7185.512,10405.498,17431.762,17422.662,17858.32,18251.771,19671.4,18847.086,18847.086
Latvia,15779.984,17236.137,17635.336,17660.322,20126.611,21027.428,20211.02,21105.2,21504.193,20609.242,23635.057,21346.463,22381.162,21775.469,20261.896,20957.162,22548.604,25054.545,22506.594,23394.7,21535.734,22625.613,21435.611
Lebanon,14027.069,14693.647,14617.907,14599.101,14306.836,13477.188,12290.246,10675.19,13562.222,16556.137,15851.824,15852.878,17291.496,15720.306,14662.743,15864.785,16684.846,18256.084,17677.684,18447.385,18341.434,18831.662,18831.662
Lesotho,1235.5165,1251.1484,1287.3501,1312.4877,1322.3566,1564.1565,1662.7148,2002.3392,1805.3613,2048.8052,2175.0613,1932.6333,2021.0361,2043.1262,2074.0635,2002.84,2142.4592,2253.6167,2182.0183,2188.859,2092.5305,2132.8137,2132.8137
Liberia,653.1203,676.3977,650.0258,706.2132,756.93256,846.99274,820.09924,728.0793,619.2872,547.7462,837.7503,896.8281,960.11163,830.95197,1071.9282,1054.1843,1187.8451,1007.256,1122.4692,1100.8312,1030.0463,1064.6156,1064.6156
Libya,41310.375,40686.832,40937.99,39334.31,39269.44,39565.17,35456.92,34507.516,35070.414,39304.934,40607.305,27959.967,36727.043,38740.535,37137.06,29102.475,28077.625,31206.035,31662.736,32421.873,28032.594,28270.334,28270.334
Lithuania,21678.389,25635.498,27703.938,29436.242,30054.08,27817.504,26969.346,29979.059,30124.53,28308.246,20948.318,22097.504,22394.059,20938.49,20422.297,21569.006,22207.523,23635.178,24616.006,24873.117,24924.742,25173.395,23151.053
Luxembourg,85402.43,90348.625,97735.35,101260.22,113106.17,113049.23,109285.4,104455.21,101834.57,95591.98,98832.99,94211.61,90375.62,84137.46,79619.14,75576.625,72784.555,74384.77,76376.74,76273.7,64241.79,67687.91,60334.33
Madagascar,591.2006,563.0391,422.2325,524.7671,554.3044,520.9991,498.27472,516.442,531.468,455.50735,469.25098,511.36972,587.69507,600.2899,635.02496,676.7416,691.3689,617.7024,579.6003,678.70404,447.50406,507.64365,507.64365
Malawi,606.25275,581.4494,560.5774,574.14386,596.341,564.4167,566.84424,548.9341,607.96954,549.8785,640.52893,626.8056,611.7529,604.7202,605.3154,567.38477,581.6119,583.40607,542.3849,537.8198,503.25735,464.98254,464.98254
