Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Faroe Is.,3.2114122,3.5360024,3.4614959,3.4489763,3.5427732,3.4714801,3.4384832,3.5833201,3.3153546,3.0768533,3.1942558,3.0535889,3.1182444,3.3955,3.1875265,3.4103537,3.3968182,3.8224695,3.9258292,3.874633,3.590405,3.7546556,3.7546556
Fiji,7.7498546,8.055674,6.822742,7.4821954,9.909775,8.482526,9.294577,8.962431,7.075837,6.1325884,8.298196,6.4357924,6.4879756,6.8536205,7.2206216,7.5502286,7.4337616,8.07573,8.561964,8.649831,8.312041,8.527583,8.527583
Finland,359.1098,366.89365,368.7681,394.92767,393.25397,357.54764,383.51224,382.1924,368.49554,341.28772,371.2906,349.9229,340.45874,341.8005,329.82288,328.8933,334.08334,327.2159,333.84097,326.98233,313.17126,319.78995,326.71646
France,3107.3093,3145.4202,3113.1091,3145.1638,3170.9683,3152.4006,3127.1309,3072.3518,3081.9138,2909.9734,2997.7344,2882.3123,2881.1746,2908.428,2785.743,2803.133,2754.993,2734.68,2785.4277,2725.8347,2454.3303,2611.2305,2329.9058
French Polynesia,3.5640922,3.91075,4.1556735,4.496459,4.4696107,4.6549926,4.6038127,4.8785715,4.9660535,4.936287,5.131611,4.8278246,4.6540155,4.5916595,4.5648503,4.7499766,4.720304,4.597504,4.683063,4.7184052,4.4983964,4.6342387,4.6342387
Gabon,11.477413,12.385007,12.388139,12.050283,12.280038,13.147338,13.484869,13.400484,13.676442,13.530092,15.767344,16.133896,20.215014,20.430458,21.331526,20.505322,20.321144,21.514389,19.279465,16.65867,19.182198,18.752058,18.752058
Gambia,1.2656064,1.3786302,1.3727992,1.3727992,1.4486916,1.4638934,1.5906816,1.6500175,1.714073,1.8415773,2.0086887,2.1115954,2.0585399,2.0487888,2.2650769,2.3181598,2.336837,2.3769746,2.3929524,2.440309,2.330364,2.458489,2.458489
Georgia,40.19375,37.132812,43.764503,38.952213,40.229385,45.764824,41.373203,51.74565,51.765415,52.634224,56.745422,52.818905,54.69463,61.590626,64.329315,68.213394,72.10096,71.68798,73.12045,74.13174,70.41069,78.29672,78.29672
Germany,3988.179,4062.799,4011.723,4010.471,4009.893,3962.6313,4062.384,3893.4246,3934.6611,3692.1802,3847.1501,3710.5862,3761.9148,3868.5193,3710.461,3780.8582,3842.8835,3892.6733,3795.1272,3697.4106,3447.9602,3549.456,3416.2869
Ghana,41.627354,41.86782,38.323772,35.093052,41.45509,42.602867,41.44528,39.11321,46.21539,53.156326,54.776882,68.86353,70.66653,74.27885,75.372475,82.1962,83.19528,83.3517,96.07844,98.84115,112.12157,114.36937,114.36937
Greece,373.0521,376.0252,376.37057,398.31604,398.23236,399.60614,411.30588,419.3504,411.58505,396.39783,378.43732,371.28455,349.30197,328.3033,307.91022,311.72308,306.9703,322.17703,324.05035,316.86453,276.92923,302.51215,315.81058
Greenland,2.9761984,2.7778873,2.6892092,2.947846,2.842635,3.4233248,3.140774,3.5480793,3.1541855,3.4551208,4.365319,4.3154736,3.6002223,3.621971,3.3852062,3.6067116,3.5601213,3.5415578,3.6112554,3.521883,3.5521214,3.5740314,3.5740314
Grenada,0.8628608,0.89806134,0.9228012,0.9761637,0.9479367,0.9967932,1.0313488,1.0949041,1.1642377,1.1303891,1.1745367,1.17188,1.1936868,1.3468796,1.138644,1.1850467,1.2207305,1.3271629,1.3067567,1.3078552,1.1029536,1.1754613,1.1754613
Guam,13.982398,19.359362,13.456475,11.392378,13.243676,15.508345,16.355312,11.815087,7.4398804,11.819359,10.535793,9.309929,9.969199,8.406397,8.13574,8.644302,8.144545,7.476278,7.4965663,7.492544,7.1242437,7.535627,7.535627
Guatemala,47.63064,49.64537,50.17874,55.09398,51.991894,53.675705,56.907677,61.005024,56.65779,59.241055,58.23573,59.401413,63.603226,68.00804,71.687744,80.04745,87.28228,94.63285,97.299934,100.10175,99.5661,100.58174,100.58174
Guinea,7.7802587,8.524347,8.881204,8.628773,9.330841,9.430223,9.589005,10.179693,10.279073,10.789983,12.349302,12.579713,12.203697,10.857174,11.221065,13.61675,15.340269,15.4381895,14.087817,15.476092,17.914892,17.34148,17.34148
Guinea-Bissau,0.996814,1.015138,1.0370629,1.2056919,1.2474937,1.2635623,1.2923663,1.3731303,1.3373134,1.3855277,1.4218439,1.4426891,1.4710882,1.5058649,1.5821962,1.6366516,1.7039256,1.3791065,1.3856009,1.3854842,1.3230809,1.3957903,1.3957903
Guyana,6.9311028,6.774319,6.852336,7.060015,6.8927383,6.221415,5.567751,6.889332,6.550098,6.745561,7.264884,7.556521,8.567865,8.391866,8.370713,8.49344,9.590764,9.509585,9.717782,11.330115,11.014605,11.014605,11.014605
